,Prompt POS Count,Prompt POS %,Continuation POS Count,Continuation POS %
ADJ,2831,11.87798942686918,2502,12.123267758503731
ADP,1568,6.578836955609633,750,3.6340730690958423
ADV,743,3.1173953176134934,625,3.0283942242465356
AUX,626,2.626499958043132,548,2.6552960558193623
CCONJ,559,2.3453889401695056,293,1.4197112123267759
DET,964,4.044642107913066,562,2.723132086442485
INTJ,332,1.3929680288663255,517,2.505087702296734
NOUN,6004,25.190903750944027,7090,34.354104079852696
NUM,173,0.7258538222707057,105,0.5087702296734179
PART,334,1.4013594025341949,387,1.8751817036534546
PRON,2204,9.247293781992113,1130,5.475336757437736
PROPN,1345,5.643198791642192,1755,8.503730981684273
PUNCT,622,2.6097172107073927,324,1.569919565849404
SCONJ,442,1.8544935805991443,389,1.8848725651710436
SYM,1657,6.952253083829824,1215,5.8871983719352645
VERB,3291,13.808005370479147,2273,11.0136641147398
X,139,0.5832004699169254,173,0.838259521271441
